Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,MeanLoss,MeanPCC,DiffLoss,DiffPCC,Dist
models/LSTM/2020-08-26_22-38-45,8,Mean,0.929485537,0.969743822,1.0874096764,-0.0130795797,0.1483806919,0.159913733,22,0.0001,0.159913733,0,0.9955463451,0.0984049484,0.1579241394,0.1729933127,1.3633975511
models/LSTM/2020-08-26_23-25-30,8,Mean,0.928700299,0.9724064774,1.068598796,0.0143431797,0.1492595682,0.1472119214,23,0.0001,0.1537685744,1,0.9899018575,0.1036048898,0.139898497,0.1349163885,1.3495198785
models/LSTM/2020-08-27_00-12-42,8,Mean,0.9292031993,0.9704868684,1.0993132387,-0.0067914235,0.0451069723,nan,28,0.0001,nan,2,0.9996677688,nan,0.1701100395,0.0518983958,nan
models/LSTM/2020-08-27_00-59-35,8,Mean,0.9291609213,0.969800919,1.0906876719,-0.022304553,0.1005180892,nan,28,0.0001,nan,3,0.9965498374,nan,0.1615267505,0.1228226422,nan
models/LSTM/2020-08-27_01-46-46,8,Mean,0.9288284878,0.9698024692,1.0907305198,-0.0069326246,0.0721217841,nan,23,0.0001,nan,4,0.9964538256,nan,0.161902032,0.0790544087,nan
models/LSTM/2020-08-27_02-33-48,8,Mean,0.9289983351,0.9697544404,1.0862112095,-0.0045345968,0.0919389893,nan,24,0.0001,nan,5,0.994987995,nan,0.1572128744,0.096473586,nan
models/LSTM/2020-08-27_03-21-06,8,Mean,0.9290752129,0.9699234809,1.082196784,-0.0089015721,0.0539538311,nan,25,0.0001,nan,6,0.9937318259,nan,0.1531215711,0.0628554032,nan
models/LSTM/2020-08-27_04-08-10,8,Mean,0.9290999743,0.9725122163,1.0682710995,-0.0064984583,nan,nan,26,0.0001,nan,7,0.9899610967,nan,0.1391711251,0,nan
models/LSTM/2020-08-27_04-55-31,8,Mean,0.928852901,0.9703826384,1.0777104231,0.0163168489,0.0716265817,nan,26,0.0001,nan,8,0.9923153208,nan,0.1488575222,0.0553097328,nan
models/LSTM/2020-08-27_05-42-35,8,Mean,0.9290383287,0.9755515382,1.1234173081,0.0233657876,0.2211554192,0.2438602244,7,0.0001,0.2438602244,9,1.009335725,0.1627938104,0.1943789794,0.2204944368,1.3439024496
models/LSTM/2020-08-27_06-30-03,8,Mean,0.9292279981,0.9712684308,1.104771622,-0.0091615397,0.0626913127,nan,29,0.0001,nan,10,1.001756017,nan,0.1755436239,0.0718528524,nan
models/LSTM/2020-08-27_07-17-08,8,Mean,0.9286121315,0.9698625688,1.0831736379,0.0072448213,0.0706992166,nan,25,0.0001,nan,11,0.9938827794,nan,0.1545615064,0.0634543953,nan
models/LSTM/2020-08-27_08-04-30,8,Mean,0.9289892077,0.9717130516,1.1073121982,-0.0097112828,0.1567005596,0.2043577536,24,0.0001,0.2043577536,12,1.0026714858,0.1171156768,0.1783229905,0.2140690364,1.3647195602
models/LSTM/2020-08-27_08-51-33,8,Mean,0.9293378233,0.9698298066,1.0914138404,-0.0174657234,0.0178755315,nan,29,0.0001,nan,13,0.9968604901,nan,0.1620760171,0.0353412549,nan
models/LSTM/2020-08-27_09-39-08,8,Mean,0.9285109005,0.9702829457,1.0784707013,-0.0032737117,nan,nan,25,0.0001,nan,14,0.9924215158,nan,0.1499598008,0,nan
models/LSTM/2020-08-27_10-26-16,8,Mean,0.9293954984,0.9709341066,1.074371103,0.0378097133,0.1477583495,0.0557487128,1,0.0001,0.1835631604,15,0.9915669026,0.0804389252,0.1449756046,0.1099486362,1.3645160758
models/LSTM/2020-08-27_11-13-37,8,Mean,0.928919911,0.9697863471,1.0849032346,-0.0157480872,0.053150657,nan,26,0.0001,nan,16,0.9945364976,nan,0.1559833237,0.0688987441,nan
models/LSTM/2020-08-27_12-00-39,8,Mean,0.9289897092,0.9697443752,1.0878700006,0.0010206092,0.0324113009,nan,23,0.0001,nan,17,0.995534695,nan,0.1588802914,0.0313906917,nan
models/LSTM/2020-08-27_12-46-40,8,Mean,0.9287468983,0.9698510297,1.0918739831,0.0125150539,0.086588932,nan,27,0.0001,nan,18,0.9968239704,nan,0.1631270848,0.0740738781,nan
models/LSTM/2020-08-27_13-32-27,8,Mean,0.9290916773,0.9698797652,1.0828754608,-0.0332674975,0.0626913127,nan,25,0.0001,nan,19,0.9939489678,nan,0.1537837835,0.0959588102,nan
models/LSTM/2020-08-27_14-18-30,8,Mean,0.9282990712,0.9733564292,1.0659053453,0.0397112646,0.1792900844,0.0989180769,13,0.0001,0.1326159946,20,0.9891869486,0.105973142,0.1376062741,0.1395788198,1.3476618922
models/LSTM/2020-08-27_15-04-25,8,Mean,0.9287606899,0.9701216269,1.0958138306,0.0054746556,0.0502708174,nan,29,0.0001,nan,21,0.9982320492,nan,0.1670531407,0.0447961618,nan
models/LSTM/2020-08-27_15-50-39,8,Mean,0.9296972022,0.9707442404,1.1013112641,-0.013541793,0.0357081449,nan,29,0.0001,nan,22,1.0005842356,nan,0.1716140619,0.0492499379,nan
models/LSTM/2020-08-27_16-36-36,8,Mean,0.9293177674,0.9698573218,1.0832690796,-0.0082265318,0.0706992166,nan,26,0.0001,nan,23,0.9941480562,nan,0.1539513122,0.0789257484,nan
models/LSTM/2020-08-27_17-22-40,8,Mean,0.928790671,0.970152826,1.0795907639,-0.0012553511,0.0907726828,0.1164073519,28,0.0001,0.1164073519,24,0.9928447536,0.0686415612,0.150800093,0.117662703,1.3746833912
models/LSTM/2020-08-27_18-08-33,8,Mean,0.9287193835,0.9697438992,1.087375741,-0.0019500932,0.0913031464,0.1970594852,25,0.0001,0.1970594852,25,0.9952796746,0.0954708461,0.1586563575,0.1990095783,1.3687699854
models/LSTM/2020-08-27_18-54-20,8,Mean,0.9288627741,0.9760736259,1.0602108587,0.0037049881,0.1512033785,0.0191889772,11,0.0001,0.1057951505,26,0.9883824196,0.0580324479,0.1313480846,0.1474983905,1.3795690526
models/LSTM/2020-08-27_19-38-28,8,Mean,0.9291164954,0.9697438509,1.0874061438,-0.0144691322,0.0456975168,nan,27,0.0001,nan,27,0.9954221634,nan,0.1582896484,0.060166649,nan
models/LSTM/2020-08-27_20-22-49,8,Mean,0.9287383014,0.9713365186,1.0725019353,0.0140267554,0.0626913127,nan,26,0.0001,nan,28,0.9908589184,nan,0.143763634,0.0486645573,nan
models/LSTM/2020-08-27_21-06-59,8,Mean,0.9294612455,0.9715289305,1.1062937388,-0.0021453676,0.1525115458,0.2225519216,20,0.0001,0.2225519216,29,1.0024279716,0.1243060333,0.1768324933,0.2246972892,1.3614185117
